,premise,hypothesis,label
655,do you think most states have that or,i think most states have that ,1
656,homes or businesses not located on one of these roads must place a mail receptacle along the route traveled ,the homes and businesses can place the mailbox wherever they would like ,2
657,67 through 67d provide a mechanism for limiting the issues on which a trial type hearing is required allow the postal service to explain the unavailability of data that would otherwise have to be filed and provide for data collection for the duration of the experiment ,67 through 67d does not provide mechanism for limiting issue on which trial type hearing is required allowing postal service to explain unavailability of the data ,2
658,anyway thank you very much for trying to help us ,thanks for all your help ,0
659,part of the original design they were destroyed by emperor aurangzeb who refused images susceptible to idolatry ,all of the original design has been destroyed by emperor aurangzeb ,2
660,the indigenous project a new program run by the oregon law center is one of only a handful of places in the united states where indigenous farmworkers from mexico and central america can find free and confidential legal aid ,the indigenous project is run by the oregon law center in portland ,1
661,expenses included in calculating net cost for education and training programs that are intended to increase or maintain national economic productive capacity shall be reported as investments in human capital as required supplementary stewardship information accompanying the financial statements of the federal government and its component units ,net cost for education programs can be calculated as a way to decrease productivity ,2
662,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they re usually not not that great or didn t do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they are shown at the dollar movie theater immediately after they re released,0
663,i understand mademoiselle i understand all you feel ,i am aware madam of how you feel ,0
664,very simply ,only a little explanation was needed ,1
665,never trust a sather bork said softly ,borker said to never trust a sather ,0
666,the researchers found expected stresses like the loss of a check in the mail and the illness of loved ones ,the stresses affected people much diffferently than the researchers expected ,2
667,allow time in thirasia to explore santorini s smaller sibling islands ,santorini has smaller sibling islands that are worth exploring ,0
668,the leaves of the papyrus were dried and used by ancient egyptians as a form of paper ,ancient egyptians use papyrus leaves for paper ,0
669,in his effort to build nationalism across turkey in the 1920s ataterk instituted a campaign to suppress kurdish identity that continues today ,his campaign to suppress the identity of the kurds was successful ,0
670,um hum yeah i saw that for the first time yesterday in the evening,yesterday was the first time i had ever seen that ,0
671,if she didn t like her restaurant so much the woman d be high up in applied by now ,she really loved to eat at her greek restaurant ,1
672,together they had a force of 130 attorneys and the responsibility to serve the civil legal needs of about 550 000 poor and vulnerable people throughout the state ,there were more lawyers than vulnerable people in the state ,2
673,see too much crime on tv and they think it s way to go i don t know what do you think,they don t see crime on tv ,2
674,you can alternate lazy days on the beach with some of the medi ter ra nean s best deep sea diving boat excursions around pirate coves canoeing and fishing on inland rivers or hikes and picnics in the mountains ,outdoor activities range from beach going deep sea diving boat excursions canoeing and fishing to hikes and picnics out in the wilderness ,0
675,while headquarters staffing is to be streamlined the staffing levels at the ports are to be maintained or increased ,headquarters needs streamlined staff while ports don t ,1
676,in particular the model provides a useful framework for assessing the long term implications of alternative budget policies through their effect on national saving ,this model is not useful for seeing how certain budget policies affect national saving as the model does not record that ,2
677,5 are highly correlated during summer months in some areas ,nothing is correlated to the summer in all areas ,2
678,for fiscal year 1996 congress determined that the commission should recover 126 400 000 in costs an amount 8 6 percent higher than required in fiscal year 1995 ,congress determined that commission should recover over 126 million in costs which is 8 6 percent higher than the year before ,0
679,credibility is a vital factor and jim lehrer does indeed have it ,jim lehrer has no credibility whatsoever ,2
680,ca daan heard the kal grunt and felt the horse lift ,the kal s grunt was heard by ca daan ,0
681,she admits to dorcas i don t know what to do scandal between husband and wife is a dreadful thing at 4 o clock she has been angry but completely mistress of herself ,she had remained in control despite her anger ,1
682,this call to play fortuneteller is not easily refused ,it s not easily refused the call to play fortuneteller ,0
683,monday s question no ,there was a question on tuesday ,2
684,tommy felt his ascendancy less sure than a moment before ,a moment ago his ascendancy was certain ,1
685,in these cases participants risk losing not only their jobs but also a significant portion of their retirement savings if their company files for bankruptcy ,participants have no risk in losing their job in these cases ,2
686,the guidelines do not apply to inpatient hospital services and hospice services and will be used by medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services ,they wished it applied to all the services ,1
687,sometimes more than one denomination shares one church ,denominations can make use of one church for the good of the community ,1
688,you wonder what youre going to be when you grow up lawyer smith said ,the lawyer smith pointed out that you wanted to know what you would be when you grew up ,0
689,a profile crowns chris rock the funniest man in america ,a profile denounces chris rock and his comedy ,2
690,john kasich dropped his presidential bid ,john kasich recommitted himself to the presidential bid and plans on winning ,2
691,the times says this tracking list is drawn up from information from bookstores but publishers say they routinely call up the times to tip them off to books selling with increasing momentum so that they can be added to the tracking list ,publishers say one things about times drawing of lists from bookstores while times claims a different story ,0
692,the leland act 1 simplify the household definition,the leland act defines the legal definition of what a household is ,1
693,yep and then i had probably lived the last eleven years in massachusetts so you know what does that make me an honorary yankee or,i ve lived the last 11 years in massachusetts so i m basically and honorary yankee ,0
694,and the nit semifinals are on tonight,the nit semifinals take place tonight ,0
695,i spent a number of years in the service as an intelligence analyst,being an intelligence analyst is hard work ,1
696,all these sites will automatically lead into george dubbawya s web site www georgewbush com ,these sites have nothing to do with george w bush s website ,2
697,local legend claims that he wrote part of his great saga os lusadas in what is now called the camees grotto situated in the spacious tropical camees garden ,it is claimed that a portion of os lusadas was written in the camees grotto ,0
698,treasure beach south coast ,treasure beach is on the south coast of the island ,0
699,the building will also house two smaller volunteer based programs the multi cultural law center and the senior lawyer volunteer project ,a couple of groups will work from the location ,0
700,said we was a staying at the inn ,he was staying at the inn in town ,1
701,in his effort to build nationalism across turkey in the 1920s ataterk instituted a campaign to suppress kurdish identity that continues today ,in 1942 ataterk tried to build nationalism in turkey ,2
702,they ought to take all them little misdemeanor people let them go let them go,they shouldn t let go of the misdemeanor people,2
703,the m tro subway is the fastest way to move around the city but the buses both in the capital and the other big towns are best for taking in the sights ,taking the subway is much slower than taking the bus ,2
704,there is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household level demand functions,instead of sampling humans for this data researchers sampled pet rocks ,2
705,and not only that it it opens you to phone solicitations,you don t want to be subjected to more marketing calls ,1
706,ooh that does get high yeah i mean,no that stays pretty low overall ,2
707,more than anything else in this day and age that s got to be a big factor in your decision s just the the cost of how much you re gonna pay,in your decisions age is a big factor and i agree with you thoughts,1
708,in other words the paper exhibited the all too typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists ,the paper doesn t employ any journalists ,2
709,lavishly furnished and decorated with much original period furniture the rooms are used for ceremonial events visits from foreign dignitaries and eu meetings ,the rooms are drab dull and not elegantly appointed ,2
710,more detailed implementation plans also will be necessary to address business system processes and resource issues ,less detailed plans will be necessary to address business systems,2
711,i am asserting my membership in the club of old geezers ,i am denying i am a member of the club of old geezers ,2
712,the interior of the palace is very dark and the use of flash is forbidden so photographers should think twice before paying the extra fee for bringing in a camera or video equipment ,the palace is adorned with gold plated bannisters and diamond chandeliers ,1
713,yeah they re still laying off like over in fort worth and a lot of other companies too just here and there,there has been a nationwide trend of people losing their jobs ,1
714,get something from from the guess who or,get something from the guess who ,0
715,the entire setup has an anti competitive anti entrepreneurial flavor that rewards political lobbying rather than good business practices ,the setup rewards good business practices ,2
716,uh whether one might conceive no pun intended of the possibility that there might be a kind of a deliberate uh um,you might think of the possibility ,0
717,so it has gone with conspiracism playing a role in crisis after crisis ,conspiracy skips out on some crises,2
718,i think that the people that are um have um a lower income which you automatically equate with lower education,i think because you have lower income you are less educated ,1
719,typically assumed to be a high roller card game baccarat bah cah rah is similar to blackjack though it s played with stricter rules higher limits and less player interaction ,only players with a lot of money to spend play baccarat ,1
720,i don t know what i would have done without legal services said james ,james said legal services was of no help ,2
721,yep that s what he s worried about the trees or a bush because lilac bushes they they grow fast some people uh would really like to have them and then the people that do have them they spread and they sprout all over their their lawn,the lilac bushes grow so fast and latch onto everything around them so they could prevent the trees from getting water ,1
722,jon was about to require a lot from her ,a lot was going to be required from her ,0
723,the search for an aids vaccine currently needs serious help with the u s government the biggest investor in the effort spending less than 10 percent of its aids research budget on the problem ,a search has been conducted for an aids vaccine ,0
724,they ll they ll say yeah why didn t you buy why didn t you try something more mainline,they ll wonder why you didn t do a more mainline clothing line ,1
725,right just get you away from the everyday things that are going on we when the children were smaller we used to go to uh delaware along the ocean ocean most every year and that was fun we stayed mostly in state parks and uh we really enjoyed that,the kids used to prefer the ocean over state parks ,1
726,because we don t always read the newspaper sometimes it just sits around for a while and then we just chuck it,sometimes we throw the week old newspapers away without reading them ,0
727,yeah uh huh yeah it s one of the things uh if you read in the newspapers and stuff he s the critics really like it or they really don t,the critics either like or really dislike that one ,0
728,gerth s prize winning articles do not mention a cia report concluding that u s security was not harmed by the 1996 accident review ,gerth talks at length about the important cia report ,2
729,conspiracy theorists mastercard is investing in a chip that can store electronic cash your medical history and keys to your home and office ,conspiracy theorists have a lot of evidence that mastercard wants to control all your data ,1
730, not part of your biography ,what is being shown is not part of my biography ,1
731,and it s just like college too i think that if a kid goes to college and you can help them fine but i don t think you should pay the whole way,you should pay the whole way for the kid s college tuition ,2
732,among the disadvantages are that the degree of innovation and product differentiation might continue to be limited ,the disadvantages of a poorly educated workforce include limited innovation ,1
733,some kwanzaa rituals most notably the focus on candles seem to have been borrowed from hanukkah ,they claimed to have started the tradition on their own ,2
734,oh really it wouldn t matter if we plant them when it was starting to get warmer,it is better to plant when it is colder ,2
735,well i i m doing computer science computer engineering,i am studying computer engineering ,0
736,we have tickets waiting for us,we have tickets to the browns waiting for us ,1
737,the road along the coastline to the south travels through busy agricultural towns and fishing villages untouched by tourism ,there are no tourists on the road through the agricultural towns and fishing villages ,0
738,and not only is it you know trouble to have to drive but it takes time away from your home and your family when you re out driving,driving is a fast experience with no downfalls ,2
739,agency officials stated that copies of both the initial and the final analysis were submitted to the chief counsel for advocacy at the small business administration as required by section 605 b ,agency officials stated that they submitted titles of their favorite children s books ,2
740,he hadn t seen even pictures of such things since the few silent movies run in some of the little art theaters ,there were some art theaters that showed silent movies ,0
741, j promotional items a member receives as a consequence of using travel or transportation services procured by the united states or accepted pursuant to 31,frequent flyer miles are one of the promotional items a member can receive ,1
742,however if people can readily withdraw money from tax preferred accounts for purposes other than retirement there is no assurance that tax incentives would ultimately enhance individuals retirement security ,if people can readily withdraw money from tax preferred accounts they won t be rich anymore ,1
743,h 2a aliens as the only category of eligible aliens who reside in the united states temporarily are particularly affected by the issue before the commission because of their necessarily short periods of time in the united states ,most h 2a aliens are from somewhere beyond mars orbit ,1
744,i ve been getting a kick out of those lately,i ve gotten kicked out of those recently ,0
745,the passaic office is refusing to join in that reconfiguration which goes into effect jan ,it will be reconfigured in march ,2
746,the results of the sheepshead minnow cyprinodon variegatus inland silverside menidia beryllina or mysid mysidopsis bahia tests are acceptable if survival in the controls is 80 percent or greater ,tests are only acceptable when survival during controls is at least 80 percent ,0
747,i noticed that there was a long branch running out from the tree in the right direction ,there was a rather lengthy branch that was pointing in the right direction ,0
748,bill clinton has developed a rhetoric and a series of positions that span this divide ,bill clinton is working to eventually close this divide ,1
749,crosethe rue de rivoli to the palais royal built for car di nal richelieu as his paris residence in 1639 and originally named palais cardinal ,crosethe rue de rivoli to the palais royal was built for king louis xvi ,2
750,yeah well the jury that originally sentenced him sentenced him to death,the jury acquitted him on those charges ,2
751,so they don t deal much in cash anymore either,they are now mostly using credit cards for transactions ,1
752,the implementation of national and european legislation concerning air emissions from large combustion plants in germany,germany s air emissions must be reduced by 25 ,1
753,in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh it s more of uh,the town did not have anything worth reporting on the radio about local events ,1
754,for instance mandatory account proposals are more likely to increase private saving because such a program would require households that do not currently save such as many low income individuals or families to place some amount in an individual account ,mandatory account proposals are likely to increase savings by forcing people to save ,0
755,yeah well rochester s like right on the shores isn t it,rochester is right on the shores of the great lakes ,1
756,he watched the river flow ,the riverbed was completely dry ,2
757,you know even even into major things just to keep our car longer because i don t think we get the money that we put into them out of them in two years or three years and of course i was never in a position where i could trade my car off every two years,i get a brand new car every couple of years ,2
758,those little kids don t understand it,those young children can t comprehend it ,0
759,that s true i didn t think about that,that s not true ,2
760,according to a 1995 financial executives research foundation report 5 transaction processing and other routine accounting activities such as accounts payable payroll and external reporting consume about 69 percent of costs within finance ,almost 70 of costs within finance are for routine accounting activities ,0
761,at 60 cents it s a bargain ,there are few items priced like that nowadays ,1
762,you re the desert ghost ,you are actually the desert ghost ,0
763,36 ac usage nationally for mercury control from power plants should be roughly proportional to the total mwe of coal fired facilities that are equipped with the technology this assumes an average capacity factor of 85 percent and other assumptions of tables 4 4 and 4 5 ,ac usage for mercury control should be related to total coal facilities mwe ,0
764,they take the football serious,football is important to them ,0
765,for himself he chose atat rk or father of the turks ,for himself he chose piety ,2
766,dod s common practice for managing this environment has been to create aggressive risk reduction efforts in its programs ,the dod has more than 100 programs ,1
767,we wouldn t be expected to cast a ballet on the subject,there is no expectation for us to vote on the matter ,0
768,all inclusive units are in villas and a great house in tropical setting overlooking caribbean ,the all inclusive units are considered villas ,0
769,the wp says that the paula jones trial judge has had an interesting prior run in with bill clinton ,the man did not know he was a judge ,1
770,conspiracy theorists mastercard is investing in a chip that can store electronic cash your medical history and keys to your home and office ,no one thinks mastercard is up to anything nefarious ,2
771,he works himself into a fake froth does some calculated halfhearted gonzo writing then collects a fat check ,he collects a big check for pretending to be outraged ,0
772,and see the thing is you know he go out and he ll spend it when he wants you know and uh uh i m afraid to i m afraid to use that credit card,i just love using my new credit card ,2
773,gao recommends that the secretary of defense revise policy and guidance,gao recommends that the secretary of defense keep policy and guidance the same,2
774,sorry but that s how it is ,sorry but there are changes that need to be made ,1
775,during the crimean war 1854 56 she set up a hospital in the huge selimiye barracks selimiye kelase ,the hospital set up in the selimiye barracks is no longer standing ,1
776,he thought the biggest barrier was how to change the culture in the ed so that staff would ask screening questions ,the biggest barrier was thought to be how to change the culture,0
777,although the uh it s uh it we almost one day we painted the house to uh we painted we painted the whole inside and it had all this dark trim we thought uh you know we did the one wall but the other trim i m trying to think i think i think we left most of it because it gets to be uh they don t do that in the newer houses now we don t the uh mold everything is white in a new house everything is white,we painted the house over the duration of one day ,0
778,yeah okay yeah those games are fun to watch you you you watch those games,those games are really boring ,2
779,we wouldn t be expected to cast a ballet on the subject,we shouldn t be expected to vote on this matter because we do not have sufficient information ,1
780,i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn t have been a problem,it seemed difficult keeping up with the buffaloes ,0
781,medicare gross outlay projections based on intermediate assumptions of the 2001 hi and smi trustees reports ,hi and smi trustee reports were used to estimate future medicare costs ,0
782,a button on the chatterbox page will make this easy so please do join in ,there is a button on the page that is easy to use ,0
783,oh does it sure,oh does it no way,2
784,court officials include the phone numbers of the local legal services office and county lawyer referral system on every summons ,court officials include the phone numbers of legal aid departments because it will help those who can t afford to pay lawyers ,1
785,i hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence ,i hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence ,0
786,cave 31 tries to emulate the style of the great hindu temple on a much smaller scale but the artists here were working on much harder rock and so abandoned their effort ,cave 31 ran into problems because it was made of harder rock ,0
787,other examples of cumulative case studies come from two international agencies ,there are no examples of case studies so it is a new territoriy ,2
788,the second missing benefit includes gains in environmental quality especially improved health benefits ,without the second benefit health would be terrible ,1
789,as the double decker boats get ready to leave the pier bells ring the gangplank is raised deckhands in blue sailor suits man the hawsers and a couple of hundred commuters begin a seven minute sightseeing tour ,over a hundred boats are parked at the pier ,1
790,from port louis all the way down grande terre s west coast to pointe pitre there extend vast mangrove swamps ,grande terre s west coast is a major tourist destination for its mangrove swamps ,1
791,good sir jon began ,jon stayed silent ,2
792,5 percent for educational lay programs relating to law and justice and other public service programs such as the high school mock trial competition and numerous publications ,educational lay programs deal with law and justice ,0
793,i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn t have been a problem,i ve never thought about how they kept up ,2
794,the best place to view the spring azaleas is at the azalea festival in the last week of april at tokyo s nezu shrine ,there is an azalea festival at the nezu shrine ,0
795,the activities included in the unified agenda are in general those expected to have a regulatory action within the next 12 months although agencies may include activities with an even longer time frame ,regulatory actions can take place within any of the next 12 months ,0
796,cases in comparative,cases care not related to law ,1
797,despite their many similarities koreans and japanese have long been mutually hostile and have pointed to the vast differences between their languages as proof that they lack a shared ancestry ,koreans and japanese see themselves as different cultures ,0
798,in 1099 under their leaders godfrey de bouillon and tancred the crusaders captured the holy city for christendom by slaughtering both muslims and jews ,the crusaders captured the holy city and killed 100 000 muslims ,1
799,profit rather,losses rather ,2
800,component modularization and prefabrication off site can reduce the amount of time cranes are needed on a site as well as provide opportunities to reduce project schedules and construction costs and to concentrate jobs locally at the prefabrication facility ,reducing project schedules and the costs associated with construction increases the company s profits ,1
801,she in turn was worshipped by her subjects as a living god ,uninteresting to her subjects she was ignored by them ,2
802,their ideas and initiatives can be implemented at the local and national levels ,their ideas are only valid on a local basis ,2
803,that example points to an important general total expenditure is determined by the value of the prize whether we re talking about presidential campaigns or state lotteries ,they stated that the monetary amount of the prize was determined regardless of how the prize was used ,1
804,the chart to which reich refers was actually presented during saxton s opening statement hours before reich testified and did not look as reich claims it did ,reich refers to a chart that he misunderstood and said it said something different ,0
805,hey it s reaching all over,it is concentrated and limited to a small space ,2
806,the order was founded by james vii james ii of england and continues today ,the same order is still around after many years ,0
807,bork shuddered ,bork shivered ,0
808,13 executive effectively implementing the government performance and results act gao ggd 96 118 june 1996 ,13 executives effectively implemented the government performance and results act,0
809,a little past the small theater built for local dramatic performances there s a fine view across the bay to basse terre ,there are no cultural places in the city ,2
810,our review indicates that the food and drug administration complied with the applicable requirements ,the fda has strict requirements for new drugs ,1
811,no i i i don t i it completely beyond me i went to my under graduate uh education,i can t remember i did my undergraduate education ,1
812,slate s joseph nocera ,nocera is the head editor for slate ,1
813,yeah i try to no i uh uh try not to use any insecticides at all i try not to even use insecticides on my lawn but i sometimes i can t manage,i d rather not use any insecticides at all but sometimes i really need to,0
814,it gets it,i guess it gets sunlight sometimes ,1
815,i wish it was as good over here as it is over there but if you re the,i am glad it is better here than over there ,2
816,the percent of total cost for each function included in the model and cost elasticity with respect to volume are shown in table 1 ,each function s cost can be seen in table 1 ,0
817,it s very hard to believe for anyone who knows me well but i was actually speechless for a period zelon said ,zelon admitted to being speechless ,0
818,away from the children,close to the kids,2
819,if all else failed i could always make myself an exhibit ,making myself an exhibit is a last resort ,0
820,net nonfederal saving,net nonfederal saving was greater than net federal saving ,1
821,i think that s great there s a few places in houston where they re trying that out i don t know if it s the if they ve done it citywide yet or not where they have the color coded uh bags and uh bins,they have no plans to try it out in houston ,2
822,consistent with gao s congressional protocols gao will then offer the requester s a draft of the product that is with the agency for comment ,the agency received a draft of the product from the gao ,0
823,off el hurriya street you ll find the neo classical facade of the greco roman museum with a fine collection of both roman greek and ptolemaic artifacts found around the city and under the waters of the harbor along with many ancient egyptian pieces ,interestingly enough every item is a vampire ward and keeps the vampires at bay ,1
824,there are actually three winding roads or the grande the high road starting out from the avenue des diables bleus in nice the moyenne the middle one beginning at place max barel and the basse along the coast from boulevard carnot but usually jammed with traffic ,the basse is a busy winding road that runs along the coast ,0
825,i tell you what i would not i would not buy a car that had the seat belt where it was hooked under the door,i would like to buy a car with the seat belts under the door ,2
826,using a threestep development planning process managers assess their current capabilities determine their specific development needs and build and execute a development plan ,the threestep planning process examines years of development even though the number of steps is low ,1
827,do you think most states have that or,do you think most states have that high murder rates ,1
828,you can either fly on tap air portugal 15 minute flight or take the ferry which leaves daily at 8am tel 291 226 511 ,you have the option of flying or taking the ferry ,0
829,i have kept you and clothed you and fed you ,i have clothed and fed you ,0
830,you see he said sadly you have no instincts ,he said that i had no willpower ,2
831,it seeks genuine direct elections after a period that is sufficient to organize alternative parties and prepare a campaign based on freedom of speech and other civil rights the right to have free trade unions the release of more than 200 political prisoners debt relief stronger penalties for corruption and pollution no amnesty for suharto and his fellow thieves and a respite for the poor from the hardest edges of economic reform ,debt relief is the main motivator for people in this democracy ,1
832,yeah and i ll do this uh sometimes i ll put my after i pour that into my back into my saucepan i ll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg so,i never use eggs when i cook i hate them ,2
833,the data warehousing institute provides education and training in the data warehousing and business intelligence industry ,the data warehousing institute provides guidance only in carpentry industry ,2
834,yes that i think that s true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,i think that makes them feel like outsiders but on the other hand they do receive a lot of tax benefits ,0
835,broadly speaking the cef moderate scenario can be thought of as a 50 increase in funding for programs that promote a variety of both demand side and supply side technologies ,the cef moderate scenario can be thought of as a 10 decrease in funding for programs ,2
836,you will also see hippie made jewellery on sale especially at the market in punta arab ,they sell hippie made jewelry at the punta arab market ,0
837,the the iranian borders are still open uh from what i understand understand um,iran let their borders open due to a crisis ,1
838,the most comfortable courses are in the cooler hill stations notably cameron highlands and fraser s hill ,it s best to golf in the cooler hill stations ,1
839,scutari is traditionally associated with the name of florence nightingale ,scutari is generally linked with florence nightingale ,0
840,um hum yes i was amazed we spent the only time we played on our trip was in douglas arizona and uh that was just,we played in lots of different places on our trip ,2
841,on your right is the entrance to the 16th century sandal bedesten with lovely brick vaults supported on massive stone pillars ,you can see the entrance of the sandal bedesten on your right ,0
842,several of the organizations had professional and administrative staffs that provided analytical capabilities and facilitated their members participation in the organization s activities ,organizations didn t care about members participation ,2
843,well do you know you have a ten limit a ten minute time limit well that s okay and then they come on and tell you and they tell you got five seconds to say good bye,you get a ten minute time limit but sometimes you ll be told to end early ,0
844,take a picnic and enjoy an alfresco lunch at this spectacular spot ,this spot is a great place to have a picnic ,0
845,howard berman of california an influential democrat on the house international relations committee ,howard berman of california has a lot to be ashamed of ,1
846,as malaysia has moved resolutely into the modern age it has also remained culturally and historically a rich multi layered blend of traditions wrapped up within a modern busy economy ,malaysia is an old country ,1
847,also lack of winter freezes means that mites normally killed off by the cold will survive ,during the heat wave the mites burst into flames ,2
848,if you missed the two top stories in yesterday s usat the government s first post deregulation attempt to preserve competitiveness among airlines and the emergence of a drug that can prevent breast cancer they are on the nyt s front today ,these two stores about post deregulation and breast cancer drug are not on the front page of nyt today ,2
849,the times says this tracking list is drawn up from information from bookstores but publishers say they routinely call up the times to tip them off to books selling with increasing momentum so that they can be added to the tracking list ,times is lying about drawing up lists from the bookstores ,1
850,rehnquist s conferences are no nonsense ,the conferences were laced with humor and entertainment ,2
851,that had been made by the cadets constitutional democrats under prince lvov ,the cadets made that under prince lvov ,0
852,i ve yeah i ve done it before and when i was in high in high school and college and thoroughly enjoyed it and and it s really a a blast my wife hates it but that s the way life is i guess,i ve never done it and don t think i would like it ,2
853,the kal tangled both of adrin s arms keeping the blades far away ,adrin s arms were tangled keeping his rusty blades away from kal ,1
854,most traditional reform options involve workers paying more for promised benefits or getting lower benefits ,the traditional reform options propose additional benefits for less cost ,2
855,the lake district is not the place to come if you want lots of action into the early morning hours ,the lake district is open 24 7 ,2
856,a more unusual dish is azure a kind of sweet porridge made with cereals nuts and fruit sprinkled with rosewater ,azure is a common and delicious food made with cereals nuts and fruit ,0
857,for instance mandatory account proposals are more likely to increase private saving because such a program would require households that do not currently save such as many low income individuals or families to place some amount in an individual account ,people who dont voluntarily save money are less likely to have bank accounts ,1
858,well unlv they say unlv may be the greatest amateur team ever,unlv may be the greatest amateur baseball team ever ,1
859,dod s common practice for managing this environment has been to create aggressive risk reduction efforts in its programs ,the dod increases risk to manage the environment ,2
860,around 1500 b c a massive volcanic eruption at santorini destroyed not only akrotiri under feet of ash and pumice but the whole minoan civilization ,the minoans did not see this coming ,1
861,the mosque of el jezzar built in 1781 dominates the landside of the old city the other three sides jut into the mediterranean ,the mosque contains many examples of intricate textile work ,1
862,sue me royko wrote ,royko was over their crap ,1
863,this is my old friend monsieur poirot whom i have not seen for years ,i haven t seen this old friend in over a year ,0
864,because of limited resources local legal services programs are forced to turn away tens of thousands of people with critical legal problems ,local services programs are often forced to refuse people with serious legal problems due to a lack of resources,0
865,yeah yeah you know we re kind of that way too i try to i m the same way you are i kind of try to judge from day to day i know you know where i am we work a lot with the customers and we have a lot of government folks come in all the time and,we ve never had a visit from someone from the government ,2
866, upload him into his body what body ,what body does he have ,0
867,wanniski and company have been drubbed by the wall street journal the new york times a m ,wanniski and company have been drubbed by the wall street journal,0
868,text box 4 1 describes how the nipa and unified budget concepts differ ,text box 4 1 explains the differences between a unified budget and nipa ,0
869,it s all right ,it is well ,0
870,you know they can t really defend themselves like somebody grown uh say my age you know yeah,they can t defend themselves ,0
871,land of lincoln helped tasha johnson of marion get social security benefits to support her four children after the 29 year old woman was diagnosed with non hodgkin s lymphoma a type of cancer she said ,she was cancer free at 29 years of age ,2
872,there may be a small savings at the factory showrooms in manacor where you ll have the biggest choice ,the factory showrooms are only for vendors ,2
873,grantees statistically sample the cases closed in the previous year to determine if the sampled cases generally meet the requirements for reporting cases to lsc ,grantees are not going to pay attention to cases closed in the last year ,2
874,said we was a staying at the inn ,he was staying at the inn ,0
875,as a result of these procedures the department estimates an annual net savings of 545 million ,an annual net savings of 545 million has been estimated by the department ,0
876,some are reported as not having been wanted at all ,all are reported as being completely and fully wanted ,2
877,a politician connected with the home service of his parliamentary section s boss with the mobile phone number 0 609 3459812 and known for his lack of sense of humor did not take too well to a message from admirer wishes shovel best ,upon receiving the message he didn t like he deleted it ,1
878,and then you can add cocoa powder to it to make chocolate or after it s thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,i add cocoa powder and boil it for seven minutes ,0
879,the ovitz deal however contained none of these goodies ,the ovitz deal did not contain any of these goodies ,0
880,fast forward to 1994 and beyond ,fast forward to 1994 and all the years after ,0
881,sorry but that s how it is ,while one is apologetic about it there is nothing that can be done ,0
882,did meriwether lewis really commit suicide as historians claim ,historians often claim that meriwether lewis was killed by natives ,2
883,well so okay you need to get married and have kids and then when they re big enough you can have them go do the yard and you can do what you want to do,the reason to have children is so that they can do yardwork ,0
884,cornwall beach another private beach with perfect sand and sheltered waters can be found behind the jamaica tourist office building a short distance east along gloucester avenue ,another one cornwall beach is located behind the tourist office ,0
885,a martini should be gin and vermouth and a twist ,a martini must be composed by vodka and vermouth ,2
886,overlapping the others ,overlying the others ,0
887,the way we try to approach it is to identify every legal problem that a client has ,we try to focus on the first legal problem in front of us ,2
888,a rusty iron gate swinging dismally on its hinges ,the iron gate was swinging and could not be locked ,1
889,nothing prior to may 7 1915 ,not a thing before may 7 1915 ,0
890,this makes it incumbent on the government to create incentives to recruit new employees and retain older employees ,the government needs to create incentives to get and retain employees ,0
891,as it is now web companies not only have the ability to provide diabolically precise demographic targeting to political campaigns they can also make such offers exclusively ,web companies freely give this demographic information to the public so it is available to all campaigns ,2
892,tuppence frowned ,tuppence beamed with delight ,2
893, not part of your biography ,what i was shown is definitely part of my biography ,2
894,lawyers in their first three years of practice or who are inactive pay 90 and retired lawyers pay nothing ,no lawyers are told to pay ,2
895,but it just might be because he s afraid he ll lose his no ,he s definitely not afraid of losing his no ,2
896,sometimes more than one denomination shares one church ,at times a church is used by multiple faiths ,0
897,other pundits beam their opinions at us as through a time warp from the hazy days of past administrations ,the experts give opinions from current administrations ,2
898,the logic of analysis in case studies is the same,the logic for the case studies is different from other types ,2
899,where would he be today without american commercial know how ,american know how is the reason he got to where he is ,0
900,to check this the central bank has tripled interest rates and used hard currency reserves now reduced to 10 billion in ready cash to buy back rubles ,the central bank s interest rates have tripled in margin ,0
901,back to the subject of celebrity interviews british magazines have published a huge number with actress kate winslet the star of titanic to promote a new british film she has made ,british magazines interviewed kate winslet a lot ,0
902,all the steps of data reduction and coding are described along with the basis for transformations in these steps ,there were 12 steps in the data reduction ,1
903,unless the political culture changes drastically there will always be one or more independent prosecutors investigating the administration of the day and or past administrations anyway ,no one questions the political system enough to make decent or noticeable changes ,1
